country,GDP,year
ABW,34343.15132,2010
ABW,34732.49585,2012
ABW,35392.60519,2011
ABW,35731.9896,2009
ABW,35875.62983,2014
ABW,35980.16459,2013
ABW,37200.05885,2003
ABW,37256.65972,2002
ABW,37715.92662,2015
ABW,38314.80603,2016
ABW,38897.12267,2017
ABW,39388.35263,2001
ABW,39407.19097,2005
ABW,39440.66786,2004
ABW,39504.46873,2006
ABW,39968.27869,2008
ABW,40058.31331,2007
ABW,41499.63854,2000
ABW,,2018
ABW,,2019
ABW,,2020
AFG,1189.784668,2002
AFG,1200.278013,2004
AFG,1235.810063,2003
AFG,1286.793659,2005
AFG,1315.789117,2006
AFG,1460.825751,2007
AFG,1484.114461,2008
AFG,1758.904477,2009
AFG,1904.559926,2011
AFG,1957.02907,2010
AFG,1978.961579,2020
AFG,2033.804389,2018
AFG,2057.067978,2016
AFG,2058.400221,2017
AFG,2065.036235,2019
AFG,2068.265904,2015
AFG,2075.491614,2012
AFG,2102.384604,2014
AFG,2116.465258,2013
AFG,,2000
AFG,,2001
AGO,4727.966314,2000
AGO,4766.836736,2001
AGO,5218.207712,2003
AGO,5240.839433,2002
AGO,5593.243624,2004
AGO,6198.083841,2020
AGO,6210.222188,2005
AGO,6670.331458,2019
AGO,6681.101028,2006
AGO,6933.499934,2018
AGO,7310.896589,2017
AGO,7341.865199,2007
AGO,7568.998168,2016
AGO,7643.495786,2009
AGO,7675.446085,2011
AGO,7692.434286,2010
AGO,7864.374579,2008
AGO,8036.410898,2015
AGO,8036.692402,2012
AGO,8140.525973,2013
AGO,8239.830672,2014
ALB,5893.136233,2000
ALB,6441.853452,2001
ALB,6754.536003,2002
ALB,7154.784825,2003
ALB,7580.629091,2004
ALB,8040.878717,2005
ALB,8569.191113,2006
ALB,9150.518747,2007
ALB,9912.577242,2008
ALB,10313.92644,2009
ALB,10749.48745,2010
ALB,11052.79046,2011
ALB,11227.99449,2012
ALB,11361.29368,2013
ALB,11586.86377,2014
ALB,11878.48809,2015
ALB,12291.87338,2016
ALB,12770.97504,2017
ALB,13295.41088,2020
ALB,13323.75336,2018
ALB,13671.48842,2019
ARE,54921.77558,2010
ARE,56123.47988,2011
ARE,57390.70052,2012
ARE,58374.61533,2009
ARE,59921.74783,2013
ARE,62378.61005,2014
ARE,65218.82043,2015
ARE,66510.90299,2016
ARE,66968.22118,2018
ARE,67119.15324,2019
ARE,67183.60531,2017
ARE,68798.41826,2008
ARE,76620.31506,2007
ARE,86425.89722,2006
ARE,90894.89881,2005
ARE,95909.14536,2002
ARE,97757.85515,2004
ARE,97795.0272,2003
ARE,98621.53638,2001
ARE,102494.7146,2000
ARE,,2020
ARG,15523.03878,2002
ARG,16714.67013,2003
ARG,17610.75539,2001
ARG,18032.61143,2004
ARG,18625.28355,2000
ARG,19426.44014,2005
ARG,19686.52366,2020
ARG,20777.65271,2006
ARG,21519.89362,2009
ARG,22063.90437,2019
ARG,22424.11773,2007
ARG,22759.39856,2018
ARG,23103.45652,2008
ARG,23189.52745,2016
ARG,23521.27018,2010
ARG,23550.09906,2014
ARG,23597.11775,2017
ARG,23933.88661,2015
ARG,24118.86752,2012
ARG,24424.13645,2013
ARG,24647.62927,2011
ARM,4048.249904,2000
ARM,4464.385831,2001
ARM,5081.518558,2002
ARM,5823.716093,2003
ARM,6472.141999,2004
ARM,7419.87119,2005
ARM,8464.485726,2006
ARM,9052.383549,2009
ARM,9286.197327,2010
ARM,9708.415397,2007
ARM,9725.27823,2011
ARM,10397.65466,2012
ARM,10467.52981,2008
ARM,10691.27675,2013
ARM,11019.83878,2014
ARM,11303.06785,2016
ARM,11321.33254,2015
ARM,12115.13929,2017
ARM,12592.63537,2020
ARM,12715.10895,2018
ARM,13653.76338,2019
ATG,17143.32603,2002
ATG,17207.65121,2001
ATG,17605.17014,2011
ATG,17642.86087,2013
ATG,17952.77914,2003
ATG,17956.31572,2020
ATG,17966.06436,2012
ATG,18104.40734,2014
ATG,18205.73853,2010
ATG,18313.34971,2000
ATG,18594.26162,2015
ATG,18743.28685,2004
ATG,19419.5808,2016
ATG,19683.54108,2005
ATG,19840.28404,2017
ATG,20047.71601,2009
ATG,21030.39507,2018
ATG,21548.72501,2019
ATG,21848.88813,2006
ATG,23131.57765,2008
ATG,23510.70765,2007
AUS,38343.00215,2000
AUS,38559.90419,2001
AUS,39616.3361,2002
AUS,40298.88605,2003
AUS,41449.84195,2004
AUS,42217.13635,2005
AUS,42761.40561,2006
AUS,44128.72709,2007
AUS,44771.48421,2009
AUS,44835.36141,2008
AUS,44991.78371,2010
AUS,45463.682,2011
AUS,46427.3682,2012
AUS,46814.74151,2013
AUS,47289.96461,2014
AUS,47636.31964,2015
AUS,48197.43119,2016
AUS,48482.64746,2017
AUS,48697.83703,2020
AUS,49151.68871,2018
AUS,49455.53851,2019
AUT,46403.2777,2000
AUT,46811.74677,2001
AUT,47351.3347,2002
AUT,47564.8639,2003
AUT,48563.58866,2004
AUT,49316.2647,2005
AUT,50767.84844,2006
AUT,50957.60638,2009
AUT,51769.14556,2010
AUT,51935.60386,2020
AUT,52489.75721,2007
AUT,52798.09946,2015
AUT,52857.05632,2014
AUT,52921.8171,2013
AUT,53089.87634,2008
AUT,53102.95084,2011
AUT,53221.07866,2012
AUT,53269.3062,2016
AUT,54169.96399,2017
AUT,55297.61829,2018
AUT,55833.31569,2019
AZE,4063.471641,2000
AZE,4431.289873,2001
AZE,4813.504185,2002
AZE,5264.840526,2003
AZE,5701.903264,2004
AZE,7222.036075,2005
AZE,9605.096108,2006
AZE,11914.99483,2007
AZE,12903.15192,2008
AZE,13699.66559,2020
AZE,13822.09111,2009
AZE,13905.24576,2011
AZE,14023.98072,2012
AZE,14121.40694,2017
AZE,14209.64941,2018
AZE,14238.78414,2016
AZE,14312.75612,2010
AZE,14439.3014,2019
AZE,14652.70425,2013
AZE,14853.91055,2015
AZE,14875.78164,2014
BDI,731.0632297,2020
BDI,751.6641528,2019
BDI,761.5241252,2018
BDI,773.5728587,2017
BDI,794.6042714,2016
BDI,798.704827,2005
BDI,804.8842137,2003
BDI,815.0536287,2006
BDI,815.9081941,2007
BDI,817.4611585,2004
BDI,825.2056607,2015
BDI,826.0289412,2001
BDI,827.7923145,2008
BDI,828.00046,2000
BDI,831.5648243,2009
BDI,839.7779004,2002
BDI,846.1691368,2010
BDI,852.5026216,2011
BDI,862.715713,2012
BDI,877.2729649,2013
BDI,886.2354167,2014
BEL,43023.30716,2000
BEL,43347.0502,2001
BEL,43889.74859,2002
BEL,44160.05668,2003
BEL,45539.58546,2004
BEL,46341.28964,2005
BEL,47063.87906,2009
BEL,47211.66396,2006
BEL,47971.63031,2010
BEL,48153.93909,2011
BEL,48203.65268,2013
BEL,48209.99152,2012
BEL,48210.03311,2020
BEL,48422.57823,2008
BEL,48589.46005,2007
BEL,48747.67705,2014
BEL,49455.44134,2015
BEL,49828.96291,2016
BEL,50442.27054,2017
BEL,51110.95847,2018
BEL,51742.72638,2019
BEN,2478.218238,2000
BEN,2532.634052,2001
BEN,2570.787304,2002
BEN,2579.697807,2003
BEN,2581.642252,2005
BEN,2606.817449,2006
BEN,2614.212455,2004
BEN,2685.130261,2007
BEN,2704.705484,2010
BEN,2707.8697,2011
BEN,2724.084767,2009
BEN,2738.194385,2008
BEN,2759.848256,2012
BEN,2876.903909,2013
BEN,2945.970221,2015
BEN,2961.440416,2016
BEN,2975.854782,2014
BEN,3044.517156,2017
BEN,3160.78067,2018
BEN,3287.309538,2019
BEN,3323.144451,2020
BFA,1296.74796,2000
BFA,1343.543543,2001
BFA,1362.280175,2002
BFA,1426.616712,2003
BFA,1447.503656,2004
BFA,1527.022159,2005
BFA,1574.730122,2006
BFA,1590.83027,2007
BFA,1631.193828,2009
BFA,1632.948589,2008
BFA,1716.358323,2010
BFA,1775.779179,2011
BFA,1834.543308,2012
BFA,1883.79654,2013
BFA,1907.949213,2014
BFA,1925.332075,2015
BFA,1981.429814,2016
BFA,2044.386987,2017
BFA,2120.330268,2018
BFA,2160.51153,2020
BFA,2178.322879,2019
BGD,1937.729192,2000
BGD,1998.06632,2001
BGD,2037.23631,2002
BGD,2097.168748,2003
BGD,2171.688675,2004
BGD,2279.531274,2005
BGD,2399.082227,2006
BGD,2537.111198,2007
BGD,2659.049232,2008
BGD,2762.180474,2009
BGD,2883.466794,2010
BGD,3034.951082,2011
BGD,3195.78104,2012
BGD,3349.025008,2013
BGD,3511.645506,2014
BGD,3700.110821,2015
BGD,3920.144507,2016
BGD,4160.703325,2017
BGD,4440.85547,2018
BGD,4753.726597,2019
BGD,4818.094737,2020
BGR,10201.27812,2000
BGR,10803.61929,2001
BGR,11697.95364,2002
BGR,12398.43536,2003
BGR,13297.11352,2004
BGR,14356.01968,2005
BGR,15449.43509,2006
BGR,16583.95878,2007
BGR,17229.84948,2009
BGR,17440.67188,2010
BGR,17717.12183,2008
BGR,17966.15806,2011
BGR,18134.96084,2012
BGR,18296.14689,2013
BGR,18747.37005,2014
BGR,19620.15398,2015
BGR,20513.10095,2016
BGR,21387.27664,2017
BGR,22208.45228,2018
BGR,22383.80554,2020
BGR,23191.57458,2019
BHR,40933.35266,2020
BHR,44157.47964,2011
BHR,44599.80497,2010
BHR,44759.39472,2009
BHR,45035.97855,2012
BHR,45060.42374,2019
BHR,46200.44558,2018
BHR,46408.83208,2008
BHR,46910.19114,2006
BHR,46930.83073,2013
BHR,47000.31533,2007
BHR,47311.74551,2002
BHR,47476.98335,2003
BHR,47493.1484,2005
BHR,47661.39407,2004
BHR,47709.77802,2017
BHR,47937.70906,2016
BHR,48110.73419,2015
BHR,48201.15717,2014
BHR,48245.77548,2001
BHR,49406.29103,2000
BHS,30764.11597,2020
BHS,35400.64947,2015
BHS,35558.0725,2016
BHS,35620.71356,2013
BHS,35659.93113,2014
BHS,36253.6681,2011
BHS,36298.448,2017
BHS,36500.06765,2009
BHS,36504.40705,2010
BHS,36961.74854,2012
BHS,37019.99505,2018
BHS,37100.36296,2019
BHS,38746.78356,2008
BHS,39757.66809,2004
BHS,40135.99655,2003
BHS,40353.97519,2005
BHS,40408.38698,2007
BHS,40518.17951,2000
BHS,40596.80092,2006
BHS,40953.48395,2001
BHS,41372.2371,2002
BIH,7114.552765,2000
BIH,7419.013414,2001
BIH,7804.168718,2002
BIH,8110.316438,2003
BIH,8600.436703,2004
BIH,9350.944042,2005
BIH,9856.968882,2006
BIH,10441.79632,2007
BIH,10755.97112,2009
BIH,10938.28505,2010
BIH,11035.03858,2008
BIH,11176.87682,2011
BIH,11257.83507,2012
BIH,11725.25086,2013
BIH,12066.58706,2014
BIH,12630.66234,2015
BIH,13194.3254,2016
BIH,13753.83205,2017
BIH,14339.83118,2020
BIH,14386.73185,2018
BIH,14896.79004,2019
BLR,8053.173638,2000
BLR,8477.084011,2001
BLR,8961.64112,2002
BLR,9660.193688,2003
BLR,10839.95627,2004
BLR,11940.1866,2005
BLR,13214.87158,2006
BLR,14417.35353,2007
BLR,15942.89768,2008
BLR,16010.43996,2009
BLR,17288.40435,2010
BLR,17822.60659,2016
BLR,18251.78094,2011
BLR,18280.19892,2017
BLR,18307.51967,2015
BLR,18576.72868,2012
BLR,18760.16352,2013
BLR,18885.2355,2018
BLR,19066.88682,2014
BLR,19148.1751,2020
BLR,19283.11715,2019
BLZ,6119.887687,2020
BLZ,6599.339352,2000
BLZ,6698.177474,2001
BLZ,6819.48232,2002
BLZ,7193.63431,2017
BLZ,7194.917905,2013
BLZ,7207.005184,2016
BLZ,7251.921351,2019
BLZ,7257.755472,2009
BLZ,7259.851886,2011
BLZ,7261.137764,2003
BLZ,7261.870287,2018
BLZ,7264.46478,2012
BLZ,7294.684143,2010
BLZ,7323.144701,2014
BLZ,7358.582292,2015
BLZ,7363.423847,2007
BLZ,7363.870636,2005
BLZ,7413.90026,2004
BLZ,7426.891451,2008
BLZ,7519.434956,2006
BMU,77361.10488,2014
BMU,77842.7539,2015
BMU,78149.35254,2016
BMU,80503.65029,2013
BMU,80982.36776,2012
BMU,81422.1346,2018
BMU,81804.26568,2019
BMU,81834.95587,2017
BMU,83181.52634,2000
BMU,85829.37826,2011
BMU,86364.15374,2002
BMU,88231.78386,2001
BMU,88399.91595,2010
BMU,88727.31127,2003
BMU,89961.98274,2009
BMU,90195.81156,2004
BMU,91114.07699,2005
BMU,95615.3607,2006
BMU,95855.80069,2008
BMU,98257.9927,2007
BMU,,2020
BOL,5402.759484,2001
BOL,5415.52606,2000
BOL,5434.083847,2002
BOL,5479.266911,2003
BOL,5605.201882,2004
BOL,5749.531649,2005
BOL,5920.709776,2006
BOL,6085.386452,2007
BOL,6351.226211,2008
BOL,6455.96837,2009
BOL,6612.803357,2010
BOL,6844.983783,2011
BOL,7081.386128,2012
BOL,7444.490809,2013
BOL,7730.638402,2014
BOL,7931.754309,2020
BOL,7984.411983,2015
BOL,8202.544232,2016
BOL,8423.69756,2017
BOL,8655.531498,2018
BOL,8724.474187,2019
BRA,11600.94846,2000
BRA,11602.4996,2001
BRA,11786.33375,2003
BRA,11800.84097,2002
BRA,12316.37426,2004
BRA,12565.94139,2005
BRA,12922.15548,2006
BRA,13564.9942,2007
BRA,13962.25888,2009
BRA,14063.98251,2020
BRA,14114.97477,2008
BRA,14451.15284,2016
BRA,14524.61354,2017
BRA,14668.25616,2018
BRA,14763.8717,2019
BRA,14873.20832,2010
BRA,15064.17607,2015
BRA,15323.33173,2011
BRA,15478.78929,2012
BRA,15749.51216,2014
BRA,15805.22291,2013
BRB,12870.0425,2020
BRB,14713.40354,2001
BRB,14778.87225,2002
BRB,15041.55475,2014
BRB,15050.40346,2003
BRB,15088.44135,2013
BRB,15124.43624,2000
BRB,15210.07184,2004
BRB,15335.84805,2012
BRB,15382.76569,2015
BRB,15444.74632,2011
BRB,15596.61681,2010
BRB,15639.04784,2019
BRB,15674.90432,2018
BRB,15738.07866,2016
BRB,15752.36013,2005
BRB,15789.04116,2017
BRB,16019.71463,2009
BRB,16612.73457,2006
BRB,16903.87296,2007
BRB,16946.67096,2008
BRN,60389.18465,2018
BRN,60867.29187,2016
BRN,60994.53156,2017
BRN,62098.01134,2019
BRN,62243.58315,2020
BRN,63147.48349,2015
BRN,64190.82415,2014
BRN,66715.69265,2013
BRN,66851.11704,2009
BRN,67753.42177,2010
BRN,68856.16169,2008
BRN,69022.88016,2000
BRN,69090.34149,2012
BRN,69388.8132,2011
BRN,69483.90486,2001
BRN,69787.8222,2005
BRN,70616.62004,2004
BRN,70771.59882,2002
BRN,71051.71079,2007
BRN,71483.1809,2003
BRN,71843.52336,2006
BTN,4061.499026,2000
BTN,4308.525604,2001
BTN,4686.010847,2002
BTN,4957.529129,2003
BTN,5165.173469,2004
BTN,5456.70775,2005
BTN,5761.750141,2006
BTN,6743.046532,2007
BTN,6995.779305,2008
BTN,7393.917855,2009
BTN,8190.576223,2010
BTN,8744.957643,2011
BTN,9084.004455,2012
BTN,9163.563551,2013
BTN,9574.029004,2014
BTN,10086.0728,2015
BTN,10775.19031,2016
BTN,10909.10017,2020
BTN,11142.47467,2017
BTN,11348.44195,2018
BTN,11832.15825,2019
BWA,11253.94305,2001
BWA,11439.9084,2000
BWA,11727.1837,2002
BWA,12059.20879,2003
BWA,12167.01508,2004
BWA,12484.23043,2005
BWA,13235.95633,2009
BWA,13256.97431,2006
BWA,14051.54126,2007
BWA,14126.38227,2010
BWA,14616.00235,2008
BWA,14770.43904,2011
BWA,15245.98099,2012
BWA,16040.00847,2020
BWA,16714.39782,2015
BWA,16786.09646,2013
BWA,17117.27279,2016
BWA,17253.6875,2017
BWA,17264.3958,2014
BWA,17634.65619,2018
BWA,17776.80831,2019
CAF,822.6111949,2014
CAF,824.9432757,2013
CAF,852.7492366,2015
CAF,884.4951965,2016
CAF,912.8030453,2017
CAF,928.5895075,2020
CAF,933.1099506,2018
CAF,945.1420429,2019
CAF,998.9999451,2003
CAF,1026.913908,2005
CAF,1037.84467,2004
CAF,1040.103835,2000
CAF,1055.087334,2006
CAF,1062.722306,2001
CAF,1077.954127,2002
CAF,1082.686648,2007
CAF,1085.440256,2008
CAF,1161.190011,2009
CAF,1201.352197,2010
CAF,1242.714801,2011
CAF,1300.28881,2012
CAN,37194.3956,2000
CAN,37309.6498,2001
CAN,38169.10636,2002
CAN,39268.21243,2003
CAN,40426.23133,2004
CAN,42046.86958,2005
CAN,43358.18239,2006
CAN,44003.61704,2009
CAN,44861.52396,2010
CAN,45822.59643,2011
CAN,45851.63025,2008
CAN,45856.62563,2020
CAN,45888.47633,2007
CAN,46126.51389,2012
CAN,46704.76224,2013
CAN,47457.58535,2016
CAN,47522.14067,2015
CAN,47564.60911,2014
CAN,48317.09658,2017
CAN,48796.81378,2018
CAN,49006.74311,2019
CHE,59022.35241,2003
CHE,59389.42406,2000
CHE,59489.74806,2002
CHE,59944.77692,2001
CHE,60271.93241,2004
CHE,61613.39105,2005
CHE,63686.24824,2006
CHE,64404.07986,2009
CHE,65641.71061,2007
CHE,65819.73725,2010
CHE,66342.01082,2011
CHE,66440.28702,2012
CHE,66598.85937,2008
CHE,66877.16305,2013
CHE,67682.68618,2014
CHE,68025.92004,2015
CHE,68393.306,2020
CHE,68663.24382,2016
CHE,69103.57026,2017
CHE,70663.4876,2018
CHE,70920.32473,2019
CHL,15638.00094,2000
CHL,15973.61997,2001
CHL,16293.18583,2002
CHL,16782.93882,2003
CHL,17807.17013,2004
CHL,18634.62644,2005
CHL,19603.69783,2006
CHL,20298.25092,2009
CHL,20346.74086,2007
CHL,20840.40421,2008
CHL,21262.46699,2010
CHL,22337.86056,2011
CHL,23300.4423,2012
CHL,23324.52475,2020
CHL,24006.81233,2013
CHL,24173.06494,2014
CHL,24440.41526,2015
CHL,24470.70362,2017
CHL,24531.35774,2016
CHL,24967.58021,2019
CHL,25028.90999,2018
CHN,3451.679231,2000
CHN,3712.338132,2001
CHN,4024.355697,2002
CHN,4400.825183,2003
CHN,4817.211845,2004
CHN,5334.646639,2005
CHN,5979.781712,2006
CHN,6795.174012,2007
CHN,7412.874363,2008
CHN,8069.354638,2009
CHN,8884.588031,2010
CHN,9686.61529,2011
CHN,10397.56142,2012
CHN,11149.86756,2013
CHN,11917.3385,2014
CHN,12691.82155,2015
CHN,13487.82248,2016
CHN,14344.42124,2017
CHN,15242.98586,2018
CHN,16092.30077,2019
CHN,16410.7978,2020
CIV,3417.778385,2011
CIV,3630.047645,2007
CIV,3639.893481,2008
CIV,3646.272188,2006
CIV,3660.903847,2010
CIV,3670.180922,2005
CIV,3673.26125,2009
CIV,3685.179703,2004
CIV,3692.647643,2012
CIV,3717.052553,2003
CIV,3848.776086,2002
CIV,3922.540884,2013
CIV,4001.956311,2001
CIV,4093.874782,2000
CIV,4161.9403,2014
CIV,4417.150215,2015
CIV,4615.709257,2016
CIV,4830.750515,2017
CIV,5033.478826,2018
CIV,5174.100553,2020
CIV,5212.554021,2019
CMR,2750.511165,2000
CMR,2795.872001,2001
CMR,2837.960712,2002
CMR,2889.281185,2003
CMR,2982.025081,2005
CMR,3002.134719,2006
CMR,3003.250985,2004
CMR,3064.124804,2007
CMR,3067.222499,2009
CMR,3084.98522,2008
CMR,3086.221474,2010
CMR,3126.786237,2011
CMR,3180.772335,2012
CMR,3262.763299,2013
CMR,3362.664809,2014
CMR,3458.692713,2015
CMR,3524.443041,2016
CMR,3554.521539,2017
CMR,3576.349499,2020
CMR,3603.548275,2018
CMR,3642.276273,2019
COD,715.4543989,2002
COD,715.6779282,2001
COD,732.5366287,2003
COD,751.5577568,2000
COD,757.6860992,2004
COD,778.9680436,2005
COD,794.429458,2006
COD,817.0695985,2007
COD,835.6117229,2009
COD,839.8155864,2008
COD,865.6840402,2010
COD,894.8265445,2011
COD,926.7878162,2012
COD,972.4559343,2013
COD,1029.790813,2014
COD,1055.572915,2016
COD,1059.810762,2017
COD,1065.242577,2015
COD,1072.210113,2020
COD,1085.893688,2018
COD,1097.94884,2019
COG,3449.145695,2020
COG,3842.798856,2019
COG,3933.425551,2018
COG,4241.858343,2017
COG,4371.625272,2007
COG,4402.901455,2000
COG,4423.297962,2003
COG,4441.777721,2001
COG,4442.063455,2004
COG,4490.496909,2008
COG,4515.569101,2002
COG,4551.370451,2016
COG,4638.193948,2005
COG,4844.960884,2006
COG,4851.126826,2009
COG,5141.183227,2011
COG,5172.760902,2010
COG,5227.934277,2015
COG,5335.610694,2013
COG,5508.011333,2012
COG,5556.70481,2014
COL,9042.662791,2000
COL,9051.414235,2001
COL,9137.464303,2002
COL,9356.209684,2003
COL,9716.499107,2004
COL,10049.12618,2005
COL,10586.79488,2006
COL,11161.51332,2007
COL,11393.20223,2008
COL,11395.56214,2009
COL,11783.29991,2010
COL,12480.54655,2011
COL,12852.6257,2012
COL,13390.4852,2013
COL,13441.49295,2020
COL,13852.24205,2014
COL,14095.74836,2015
COL,14171.3205,2017
COL,14194.51566,2016
COL,14314.85558,2018
COL,14585.30249,2019
COM,2777.142236,2007
COM,2804.003873,2004
COM,2815.702121,2005
COM,2817.312764,2003
COM,2819.658741,2008
COM,2821.938477,2006
COM,2825.800985,2002
COM,2829.083472,2001
COM,2833.591016,2000
COM,2840.632898,2009
COM,2878.26971,2010
COM,2924.685517,2011
COM,2946.202224,2012
COM,2959.498097,2015
COM,2987.970275,2016
COM,2996.379345,2014
COM,3005.510857,2013
COM,3032.262133,2017
COM,3059.491726,2019
COM,3066.837847,2018
COM,3140.698772,2020
CPV,4065.479414,2000
CPV,4084.44402,2001
CPV,4228.513083,2002
CPV,4336.865171,2003
CPV,4709.03724,2004
CPV,4964.79746,2005
CPV,5291.047556,2006
CPV,6018.107241,2007
CPV,6045.060885,2020
CPV,6185.760917,2009
CPV,6200.343537,2010
CPV,6266.881779,2015
CPV,6281.793971,2014
CPV,6323.376462,2013
CPV,6341.204482,2008
CPV,6353.707704,2012
CPV,6366.128511,2011
CPV,6482.72155,2016
CPV,6643.179892,2017
CPV,6864.185298,2018
CPV,7171.826425,2019
CRI,12624.07057,2000
CRI,12832.57368,2001
CRI,13054.71918,2002
CRI,13411.8483,2003
CRI,13802.72868,2004
CRI,14149.51924,2005
CRI,14976.81578,2006
CRI,15989.33133,2007
CRI,16174.27686,2009
CRI,16527.43608,2008
CRI,16830.43618,2010
CRI,17360.20159,2011
CRI,17994.53623,2012
CRI,18233.01597,2013
CRI,18669.09668,2014
CRI,19141.68307,2015
CRI,19679.28864,2020
CRI,19736.6653,2016
CRI,20347.03477,2017
CRI,20559.86043,2018
CRI,20805.34368,2019
CUW,24494.34261,2019
CUW,25054.89523,2018
CUW,25475.48966,2017
CUW,26009.528,2016
CUW,26548.7,2015
CUW,26826.59238,2014
CUW,27503.78944,2013
CUW,28040.03605,2012
CUW,28313.04862,2011
CUW,28543.36071,2010
CUW,28829.01689,2006
CUW,28883.10378,2009
CUW,28963.40996,2007
CUW,29102.86384,2005
CUW,29227.07658,2008
CUW,29653.96471,2004
CUW,29669.86461,2000
CUW,30107.17996,2003
CUW,30562.31835,2001
CUW,30646.14873,2002
CUW,,2020
CYM,65598.18119,2013
CYM,65835.08782,2012
CYM,66255.63177,2011
CYM,66326.88748,2014
CYM,66882.50759,2010
CYM,67241.28339,2015
CYM,68484.50784,2016
CYM,69753.08972,2017
CYM,70428.43172,2009
CYM,71784.04808,2018
CYM,73633.70163,2019
CYM,77987.96784,2008
CYM,80513.47821,2006
CYM,80595.66749,2007
CYM,,2000
CYM,,2001
CYM,,2002
CYM,,2003
CYM,,2004
CYM,,2005
CYM,,2020
CYP,33013.98251,2000
CYP,33207.77071,2014
CYP,33456.28909,2013
CYP,33950.95983,2001
CYP,34472.29851,2015
CYP,34813.67667,2002
CYP,35295.36498,2003
CYP,35719.3218,2012
CYP,36523.73321,2016
CYP,36576.87309,2004
CYP,37562.44914,2011
CYP,37655.18035,2020
CYP,37803.57553,2005
CYP,38050.85774,2017
CYP,38379.0904,2010
CYP,38618.00937,2009
CYP,38930.61305,2006
CYP,39559.48796,2018
CYP,40053.41379,2007
CYP,40226.80949,2019
CYP,40484.61491,2008
CZE,24976.50632,2000
CZE,25833.41467,2001
CZE,26289.62614,2002
CZE,27239.55944,2003
CZE,28542.25482,2004
CZE,30384.44665,2005
CZE,32352.81297,2006
CZE,32782.61235,2009
CZE,33483.13759,2010
CZE,33661.46842,2013
CZE,33688.09983,2012
CZE,33956.24598,2007
CZE,34002.18978,2011
CZE,34386.70491,2014
CZE,34580.44335,2008
CZE,36168.41856,2015
CZE,37014.95929,2016
CZE,38319.33766,2020
CZE,38824.88792,2017
CZE,39932.99219,2018
CZE,40696.31049,2019
DEU,42864.93289,2000
DEU,43025.98773,2003
DEU,43353.33889,2002
DEU,43512.43267,2001
DEU,43541.03262,2004
DEU,43884.53528,2005
DEU,44978.11987,2009
DEU,45610.78189,2006
DEU,46929.99341,2010
DEU,47031.21379,2007
DEU,47573.02736,2008
DEU,49684.61307,2011
DEU,49798.96767,2012
DEU,49880.57352,2013
DEU,50770.61349,2014
DEU,50922.35802,2020
DEU,51083.92166,2015
DEU,51803.23542,2016
DEU,52952.87502,2017
DEU,53463.40148,2018
DEU,53639.26072,2019
DJI,4028.43237,2013
DJI,4238.944355,2014
DJI,4488.802658,2015
DJI,4709.523889,2016
DJI,4885.205039,2017
DJI,5214.072187,2018
DJI,5481.114817,2020
DJI,5534.766172,2019
DJI,,2000
DJI,,2001
DJI,,2002
DJI,,2003
DJI,,2004
DJI,,2005
DJI,,2006
DJI,,2007
DJI,,2008
DJI,,2009
DJI,,2010
DJI,,2011
DJI,,2012
DMA,9308.363873,2002
DMA,9602.501686,2001
DMA,9611.53337,2000
DMA,9862.737606,2003
DMA,9891.29194,2020
DMA,10122.46625,2004
DMA,10160.99441,2005
DMA,10613.68924,2006
DMA,11275.37812,2007
DMA,11304.04333,2017
DMA,11537.01907,2018
DMA,11708.145,2013
DMA,11837.236,2012
DMA,11873.74184,2015
