country,rate,year
AFG,,1905
AFG,,1900
AFG,,1910
AFG,,1915
AFG,,1920
AFG,,1925
AFG,,1930
AFG,,1935
AFG,,1940
AFG,,1945
AFG,3,1950
AFG,,1955
AFG,,1960
AFG,6.4,1965
AFG,,1970
AFG,12.2,1975
AFG,19.5,1980
AFG,,1985
AFG,27.1,1990
AFG,31.5,1995
AFG,35.9,2000
AFG,,2005
AFG,45.4,2010
AGO,,1905
AGO,,1900
AGO,,1910
AGO,,1915
AGO,,1920
AGO,,1925
AGO,,1930
AGO,,1935
AGO,,1940
AGO,,1945
AGO,3,1950
AGO,,1955
AGO,,1960
AGO,,1965
AGO,,1970
AGO,,1975
AGO,,1980
AGO,35.7,1985
AGO,41.7,1990
AGO,,1995
AGO,67.4,2000
AGO,,2005
AGO,70.1,2010
ALB,,1905
ALB,,1900
ALB,,1910
ALB,,1915
ALB,,1920
ALB,,1925
ALB,,1930
ALB,,1935
ALB,,1940
ALB,24.6,1945
ALB,72.5,1950
ALB,71.5,1955
ALB,,1960
ALB,,1965
ALB,,1970
ALB,,1975
ALB,,1980
ALB,,1985
ALB,,1990
ALB,,1995
ALB,98.7,2000
ALB,,2005
ALB,95.9,2010
ARE,,1905
ARE,,1900
ARE,,1910
ARE,,1915
ARE,,1920
ARE,,1925
ARE,,1930
ARE,,1935
ARE,,1940
ARE,,1945
ARE,,1950
ARE,,1955
ARE,,1960
ARE,,1965
ARE,20.9,1970
ARE,53.5,1975
ARE,69.9,1980
ARE,71.2,1985
ARE,76.6,1990
ARE,79.2,1995
ARE,81.8,2000
ARE,,2005
ARE,86.7,2010
ARG,,1905
ARG,,1900
ARG,,1910
ARG,64.9,1915
ARG,,1920
ARG,,1925
ARG,,1930
ARG,,1935
ARG,,1940
ARG,86.4,1945
ARG,87.5,1950
ARG,,1955
ARG,91.4,1960
ARG,,1965
ARG,92.6,1970
ARG,,1975
ARG,93.9,1980
ARG,,1985
ARG,95.6,1990
ARG,96.2,1995
ARG,96.6,2000
ARG,,2005
ARG,97.3,2010
ARM,,1905
ARM,,1900
ARM,,1910
ARM,,1915
ARM,,1920
ARM,,1925
ARM,,1930
ARM,,1935
ARM,,1940
ARM,,1945
ARM,,1950
ARM,,1955
ARM,,1960
ARM,,1965
ARM,,1970
ARM,,1975
ARM,,1980
ARM,,1985
ARM,98.8,1990
ARM,,1995
ARM,99.4,2000
ARM,,2005
ARM,99.6,2010
AUS,,1905
AUS,,1900
AUS,,1910
AUS,,1915
AUS,,1920
AUS,,1925
AUS,,1930
AUS,,1935
AUS,,1940
AUS,,1945
AUS,98.5,1950
AUS,,1955
AUS,99,1960
AUS,,1965
AUS,99,1970
AUS,,1975
AUS,99,1980
AUS,,1985
AUS,99,1990
AUS,,1995
AUS,99,2000
AUS,99,2005
AUS,99,2010
AUT,,1905
AUT,,1900
AUT,,1910
AUT,,1915
AUT,,1920
AUT,,1925
AUT,,1930
AUT,,1935
AUT,,1940
AUT,,1945
AUT,88.5,1950
AUT,,1955
AUT,92,1960
AUT,,1965
AUT,94,1970
AUT,,1975
AUT,97,1980
AUT,,1985
AUT,97,1990
AUT,,1995
AUT,98,2000
AUT,,2005
AUT,98,2010
AZE,,1905
AZE,,1900
AZE,,1910
AZE,,1915
AZE,,1920
AZE,,1925
AZE,,1930
AZE,,1935
AZE,,1940
AZE,,1945
AZE,,1950
AZE,,1955
AZE,,1960
AZE,,1965
AZE,,1970
AZE,,1975
AZE,,1980
AZE,,1985
AZE,,1990
AZE,,1995
AZE,98.8,2000
AZE,99.6,2005
AZE,99.8,2010
BDI,,1905
BDI,,1900
BDI,,1910
BDI,,1915
BDI,,1920
BDI,,1925
BDI,,1930
BDI,,1935
BDI,,1940
BDI,,1945
BDI,,1950
BDI,,1955
BDI,13.9,1960
BDI,,1965
BDI,,1970
BDI,,1975
BDI,22.5,1980
BDI,,1985
BDI,37.4,1990
BDI,35.3,1995
BDI,59.3,2000
BDI,,2005
BDI,67.2,2010
BEL,,1905
BEL,80.4,1900
BEL,86.6,1910
BEL,,1915
BEL,92.2,1920
BEL,,1925
BEL,94.1,1930
BEL,,1935
BEL,,1940
BEL,96.7,1945
BEL,96.5,1950
BEL,,1955
BEL,,1960
BEL,,1965
BEL,97.2,1970
BEL,,1975
BEL,98.1,1980
BEL,,1985
BEL,99,1990
BEL,,1995
BEL,99,2000
BEL,99,2005
BEL,99,2010
BEN,,1905
BEN,,1900
BEN,,1910
BEN,,1915
BEN,,1920
BEN,,1925
BEN,,1930
BEN,,1935
BEN,,1940
BEN,,1945
BEN,,1950
BEN,,1955
BEN,4.6,1960
BEN,,1965
BEN,,1970
BEN,,1975
BEN,16.5,1980
BEN,,1985
BEN,27.2,1990
BEN,37,1995
BEN,34.7,2000
BEN,,2005
BEN,42.4,2010
BFA,,1905
BFA,,1900
BFA,,1910
BFA,,1915
BFA,,1920
BFA,,1925
BFA,,1930
BFA,,1935
BFA,,1940
BFA,,1945
BFA,,1950
BFA,,1955
BFA,,1960
BFA,,1965
BFA,,1970
BFA,8.7,1975
BFA,11.4,1980
BFA,,1985
BFA,13.6,1990
BFA,12.8,1995
BFA,21.8,2000
BFA,23.6,2005
BFA,28.7,2010
BGD,,1905
BGD,,1900
BGD,,1910
BGD,,1915
BGD,,1920
BGD,,1925
BGD,,1930
BGD,,1935
BGD,,1940
BGD,,1945
BGD,,1950
BGD,,1955
BGD,21.6,1960
BGD,,1965
BGD,,1970
BGD,25.8,1975
BGD,29.5,1980
BGD,,1985
BGD,35.3,1990
BGD,38.1,1995
BGD,47.5,2000
BGD,,2005
BGD,56.8,2010
BGR,34.5,1905
BGR,29.6,1900
BGR,42.2,1910
BGR,,1915
BGR,53.3,1920
BGR,60.3,1925
BGR,,1930
BGR,68.6,1935
BGR,,1940
BGR,75.8,1945
BGR,77.5,1950
BGR,85.7,1955
BGR,,1960
BGR,90.6,1965
BGR,,1970
BGR,,1975
BGR,93.1,1980
BGR,,1985
BGR,95.2,1990
BGR,,1995
BGR,98.2,2000
BGR,,2005
BGR,98.5,2010
BHS,,1905
BHS,,1900
BHS,46.6,1910
BHS,,1915
BHS,50.7,1920
BHS,,1925
BHS,69.7,1930
BHS,,1935
BHS,,1940
BHS,76,1945
BHS,,1950
BHS,,1955
BHS,,1960
BHS,,1965
BHS,,1970
BHS,,1975
BHS,96.8,1980
BHS,,1985
BHS,97.9,1990
BHS,98.2,1995
BHS,98.5,2000
BHS,,2005
BHS,98.8,2010
BIH,,1905
BIH,,1900
BIH,,1910
BIH,,1915
BIH,,1920
BIH,,1925
BIH,,1930
BIH,,1935
BIH,,1940
BIH,,1945
BIH,,1950
BIH,,1955
BIH,,1960
BIH,,1965
BIH,,1970
BIH,,1975
BIH,,1980
BIH,,1985
BIH,,1990
BIH,,1995
BIH,96.7,2000
BIH,,2005
BIH,97.9,2010
BLR,,1905
BLR,,1900
BLR,,1910
BLR,,1915
BLR,,1920
BLR,,1925
BLR,,1930
BLR,,1935
BLR,,1940
BLR,,1945
BLR,,1950
BLR,,1955
BLR,99,1960
BLR,,1965
BLR,99.8,1970
BLR,,1975
BLR,,1980
BLR,,1985
BLR,97.9,1990
BLR,,1995
BLR,99.6,2000
BLR,,2005
BLR,99.6,2010
BLZ,,1905
BLZ,,1900
BLZ,,1910
BLZ,,1915
BLZ,,1920
BLZ,,1925
BLZ,,1930
BLZ,,1935
BLZ,,1940
BLZ,81.1,1945
BLZ,,1950
BLZ,,1955
BLZ,86.6,1960
BLZ,,1965
BLZ,,1970
BLZ,,1975
BLZ,,1980
BLZ,,1985
BLZ,70.3,1990
BLZ,,1995
BLZ,76.9,2000
BLZ,,2005
BLZ,,2010
BOL,,1905
BOL,,1900
BOL,,1910
BOL,,1915
BOL,,1920
BOL,,1925
BOL,,1930
BOL,,1935
BOL,,1940
BOL,,1945
BOL,32.1,1950
BOL,,1955
BOL,38.8,1960
BOL,,1965
BOL,,1970
BOL,63.2,1975
BOL,69.5,1980
BOL,,1985
BOL,80,1990
BOL,83.1,1995
BOL,86.7,2000
BOL,90.7,2005
BOL,91.2,2010
BRA,,1905
BRA,34.7,1900
BRA,,1910
BRA,,1915
BRA,35.1,1920
BRA,,1925
BRA,,1930
BRA,,1935
BRA,43.9,1940
BRA,,1945
BRA,49.4,1950
BRA,,1955
BRA,61,1960
BRA,,1965
BRA,66.2,1970
BRA,75.7,1975
BRA,74.6,1980
BRA,,1985
BRA,81,1990
BRA,83.3,1995
BRA,86.4,2000
BRA,89.6,2005
BRA,90.3,2010
BRN,,1905
BRN,,1900
BRN,,1910
BRN,,1915
BRN,,1920
BRN,,1925
BRN,,1930
BRN,,1935
BRN,,1940
BRN,27.4,1945
BRN,27.5,1950
BRN,,1955
BRN,42.6,1960
BRN,,1965
BRN,63.9,1970
BRN,,1975
BRN,77.8,1980
BRN,,1985
BRN,87.8,1990
BRN,88.2,1995
BRN,92.7,2000
BRN,,2005
BRN,95.2,2010
BTN,,1905
BTN,,1900
BTN,,1910
BTN,,1915
BTN,,1920
BTN,,1925
BTN,,1930
BTN,,1935
BTN,,1940
BTN,,1945
BTN,3,1950
BTN,,1955
BTN,,1960
BTN,,1965
BTN,,1970
BTN,,1975
BTN,28,1980
BTN,,1985
BTN,37.2,1990
BTN,42.2,1995
BTN,47.3,2000
BTN,47,2005
BTN,57.6,2010
BWA,,1905
BWA,,1900
BWA,,1910
BWA,,1915
BWA,,1920
BWA,,1925
BWA,,1930
BWA,,1935
BWA,,1940
BWA,20.5,1945
BWA,22.5,1950
BWA,,1955
BWA,,1960
BWA,32.7,1965
BWA,41,1970
BWA,,1975
BWA,55.5,1980
BWA,,1985
BWA,68.6,1990
BWA,69.8,1995
BWA,81.2,2000
BWA,,2005
BWA,84.5,2010
CAF,,1905
CAF,,1900
CAF,,1910
CAF,,1915
CAF,,1920
CAF,,1925
CAF,,1930
CAF,,1935
CAF,,1940
CAF,,1945
CAF,7.5,1950
CAF,,1955
CAF,2.1,1960
CAF,,1965
CAF,,1970
CAF,18.2,1975
CAF,33,1980
CAF,,1985
CAF,33.6,1990
CAF,60,1995
CAF,50.6,2000
CAF,,2005
CAF,56,2010
CAN,,1905
CAN,82.9,1900
CAN,89,1910
CAN,,1915
CAN,94.3,1920
CAN,,1925
CAN,95.7,1930
CAN,,1935
CAN,,1940
CAN,,1945
CAN,97.5,1950
CAN,,1955
CAN,98,1960
CAN,,1965
CAN,98,1970
CAN,,1975
CAN,98.5,1980
CAN,,1985
CAN,99,1990
CAN,,1995
CAN,99,2000
CAN,,2005
CAN,99,2010
CHE,,1905
CHE,,1900
CHE,,1910
CHE,,1915
CHE,,1920
CHE,,1925
CHE,,1930
CHE,,1935
CHE,,1940
CHE,,1945
CHE,98.5,1950
CHE,,1955
CHE,99,1960
CHE,,1965
CHE,99,1970
CHE,,1975
CHE,99,1980
CHE,,1985
CHE,99,1990
CHE,99,1995
CHE,,2000
CHE,99,2005
CHE,99,2010
CHL,51.1,1905
CHL,,1900
CHL,,1910
CHL,,1915
CHL,64,1920
CHL,,1925
CHL,75.6,1930
CHL,,1935
CHL,72.9,1940
CHL,,1945
CHL,80.1,1950
CHL,,1955
CHL,83.6,1960
CHL,,1965
CHL,89,1970
CHL,,1975
CHL,91.1,1980
CHL,,1985
CHL,94.3,1990
CHL,95.2,1995
CHL,95.7,2000
CHL,,2005
CHL,98.6,2010
CHN,,1905
CHN,,1900
CHN,,1910
CHN,,1915
CHN,,1920
CHN,,1925
CHN,,1930
CHN,,1935
CHN,,1940
CHN,,1945
CHN,47.5,1950
CHN,,1955
CHN,,1960
CHN,,1965
CHN,,1970
CHN,,1975
CHN,65.5,1980
CHN,,1985
CHN,77.8,1990
CHN,81.5,1995
CHN,90.9,2000
CHN,,2005
CHN,94.3,2010
CIV,,1905
CIV,,1900
CIV,,1910
CIV,,1915
CIV,,1920
CIV,,1925
CIV,,1930
CIV,,1935
CIV,,1940
CIV,,1945
CIV,,1950
CIV,,1955
CIV,5,1960
CIV,,1965
CIV,,1970
CIV,,1975
CIV,35,1980
CIV,,1985
CIV,34.1,1990
CIV,40.1,1995
CIV,48.7,2000
CIV,,2005
CIV,56.2,2010
CMR,,1905
CMR,,1900
CMR,,1910
CMR,,1915
CMR,,1920
CMR,,1925
CMR,,1930
CMR,,1935
CMR,,1940
CMR,,1945
CMR,7.5,1950
CMR,,1955
CMR,18.9,1960
CMR,,1965
CMR,,1970
CMR,41.2,1975
CMR,44,1980
CMR,,1985
CMR,57,1990
CMR,63.4,1995
CMR,68.4,2000
CMR,70.7,2005
CMR,79,2010
COD,,1905
COD,,1900
COD,,1910
COD,,1915
COD,,1920
COD,,1925
COD,,1930
COD,,1935
COD,,1940
COD,,1945
COD,37.5,1950
COD,,1955
COD,,1960
COD,,1965
COD,,1970
COD,,1975
COD,59.3,1980
COD,,1985
COD,72,1990
COD,77.3,1995
COD,81.9,2000
COD,,2005
COD,89,2010
COG,,1905
COG,,1900
COG,,1910
COG,,1915
COG,,1920
COG,,1925
COG,,1930
COG,,1935
COG,,1940
COG,,1945
COG,,1950
COG,,1955
COG,15.6,1960
COG,,1965
COG,,1970
COG,,1975
COG,51.5,1980
COG,,1985
COG,67.8,1990
COG,74.9,1995
COG,81,2000
COG,83.8,2005
COG,90.1,2010
COL,,1905
COL,,1900
COL,,1910
COL,,1915
COL,42.4,1920
COL,,1925
COL,51.6,1930
COL,,1935
COL,55.8,1940
COL,,1945
COL,52.5,1950
COL,62.3,1955
COL,62.5,1960
COL,62.9,1965
COL,,1970
COL,81.8,1975
COL,86.9,1980
COL,,1985
COL,89.6,1990
COL,91.2,1995
COL,92.6,2000
COL,92.3,2005
COL,93.4,2010
COM,,1905
COM,,1900
COM,,1910
COM,,1915
COM,,1920
COM,,1925
COM,,1930
COM,,1935
COM,,1940
COM,,1945
COM,22.5,1950
COM,,1955
COM,,1960
COM,58.4,1965
COM,,1970
COM,,1975
COM,47.9,1980
COM,,1985
COM,54.4,1990
COM,57.3,1995
COM,60.3,2000
COM,,2005
COM,65.8,2010
CRI,,1905
CRI,,1900
CRI,,1910
CRI,,1915
CRI,,1920
CRI,65.7,1925
CRI,,1930
CRI,,1935
CRI,,1940
CRI,,1945
CRI,79.4,1950
CRI,,1955
CRI,,1960
CRI,84,1965
CRI,,1970
CRI,88.4,1975
CRI,91.5,1980
CRI,92.6,1985
CRI,93.9,1990
CRI,94.8,1995
CRI,94.9,2000
CRI,,2005
CRI,96.2,2010
CUB,,1905
CUB,43.1,1900
CUB,56.4,1910
CUB,,1915
CUB,61.3,1920
CUB,,1925
CUB,71.8,1930
CUB,,1935
CUB,,1940
CUB,66.4,1945
CUB,77.5,1950
CUB,78.9,1955
CUB,,1960
CUB,,1965
CUB,,1970
CUB,,1975
CUB,89.2,1980
CUB,,1985
CUB,94.3,1990
CUB,95.7,1995
CUB,99.8,2000
CUB,,2005
CUB,99.8,2010
CYP,,1905
CYP,,1900
CYP,25.5,1910
CYP,,1915
CYP,35.1,1920
CYP,,1925
CYP,46.3,1930
CYP,,1935
CYP,,1940
CYP,60.5,1945
CYP,62.5,1950
CYP,,1955
CYP,75.9,1960
CYP,,1965
CYP,,1970
CYP,,1975
CYP,,1980
CYP,,1985
CYP,94.4,1990
CYP,,1995
CYP,96.8,2000
CYP,,2005
CYP,98.3,2010
CZE,,1905
CZE,,1900
CZE,,1910
CZE,,1915
CZE,,1920
CZE,,1925
CZE,96.9,1930
CZE,,1935
CZE,,1940
CZE,,1945
CZE,97.5,1950
CZE,,1955
CZE,97.7,1960
CZE,,1965
CZE,97.9,1970
CZE,,1975
CZE,98.2,1980
CZE,,1985
CZE,98.6,1990
CZE,,1995
CZE,99,2000
CZE,,2005
CZE,99,2010
DEU,,1905
DEU,,1900
DEU,,1910
DEU,,1915
DEU,,1920
DEU,,1925
DEU,,1930
DEU,,1935
DEU,,1940
DEU,,1945
DEU,98.5,1950
DEU,,1955
DEU,98.7,1960
DEU,,1965
DEU,98.7,1970
DEU,,1975
DEU,98.8,1980
DEU,,1985
DEU,99,1990
DEU,,1995
DEU,99,2000
DEU,99,2005
DEU,99,2010
DJI,,1905
DJI,,1900
DJI,,1910
DJI,,1915
DJI,,1920
DJI,,1925
DJI,,1930
DJI,,1935
DJI,,1940
DJI,,1945
DJI,,1950
DJI,,1955
DJI,,1960
DJI,,1965
DJI,,1970
DJI,,1975
DJI,31.4,1980
DJI,,1985
DJI,41.1,1990
DJI,46.2,1995
DJI,51.4,2000
DJI,,2005
DJI,61,2010
DNK,,1905
DNK,,1900
DNK,,1910
DNK,,1915
DNK,,1920
DNK,,1925
DNK,,1930
DNK,,1935
DNK,,1940
DNK,,1945
DNK,98.5,1950
DNK,,1955
DNK,,1960
DNK,,1965
DNK,,1970
DNK,,1975
DNK,,1980
DNK,,1985
DNK,,1990
DNK,,1995
DNK,,2000
DNK,99,2005
DNK,,2010
DOM,,1905
DOM,,1900
DOM,,1910
DOM,,1915
DOM,,1920
DOM,,1925
DOM,,1930
DOM,26.5,1935
DOM,,1940
DOM,,1945
DOM,42.9,1950
DOM,59.9,1955
DOM,64.5,1960
DOM,,1965
DOM,67.2,1970
DOM,,1975
DOM,73.1,1980
DOM,,1985
DOM,79.8,1990
DOM,82.1,1995
DOM,87,2000
DOM,88.7,2005
DOM,89.5,2010
DZA,,1905
DZA,,1900
DZA,,1910
DZA,,1915
DZA,,1920
DZA,,1925
DZA,,1930
DZA,,1935
DZA,,1940
DZA,,1945
DZA,17.5,1950
DZA,19,1955
DZA,10.4,1960
DZA,18.8,1965
DZA,26.4,1970
DZA,,1975
DZA,39.1,1980
DZA,49.6,1985
DZA,54.6,1990
DZA,61.6,1995
DZA,69.9,2000
DZA,72.6,2005
DZA,77.2,2010
ECU,,1905
ECU,,1900
ECU,,1910
ECU,,1915
ECU,,1920
ECU,,1925
ECU,,1930
ECU,,1935
ECU,,1940
ECU,,1945
ECU,55.7,1950
ECU,,1955
ECU,67.5,1960
ECU,,1965
ECU,,1970
ECU,74.2,1975
ECU,83.6,1980
ECU,,1985
ECU,88.3,1990
ECU,90.1,1995
ECU,91,2000
ECU,84.2,2005
ECU,91.9,2010
EGY,7.3,1905
EGY,,1900
EGY,,1910
EGY,8.8,1915
EGY,,1920
EGY,14.1,1925
EGY,,1930
EGY,14.8,1935
EGY,,1940
EGY,19.9,1945
EGY,22.5,1950
EGY,,1955
EGY,25.8,1960
EGY,,1965
EGY,,1970
EGY,38.2,1975
EGY,39.7,1980
EGY,44.4,1985
EGY,47.5,1990
EGY,55.6,1995
EGY,55.3,2000
EGY,71.4,2005
EGY,72,2010
ERI,,1905
ERI,,1900
ERI,,1910
ERI,,1915
ERI,,1920
ERI,,1925
ERI,,1930
ERI,,1935
ERI,,1940
ERI,,1945
ERI,3,1950
ERI,,1955
ERI,,1960
ERI,,1965
ERI,,1970
ERI,,1975
ERI,,1980
ERI,,1985
ERI,,1990
ERI,,1995
ERI,52.5,2000
ERI,,2005
ERI,67.8,2010
ESP,,1905
ESP,41.3,1900
ESP,47.8,1910
ESP,,1915
ESP,56,1920
ESP,,1925
ESP,,1930
ESP,,1935
ESP,76.8,1940
ESP,,1945
ESP,82.7,1950
ESP,,1955
ESP,86.7,1960
ESP,,1965
ESP,90.2,1970
ESP,92.4,1975
ESP,92.8,1980
ESP,,1985
ESP,96.5,1990
ESP,,1995
ESP,,2000
ESP,97.8,2005
ESP,97.7,2010
EST,,1905
EST,,1900
EST,,1910
EST,,1915
EST,84.9,1920
EST,,1925
EST,,1930
EST,94.8,1935
EST,,1940
EST,,1945
EST,,1950
EST,,1955
EST,,1960
EST,,1965
EST,,1970
EST,,1975
EST,,1980
EST,,1985
EST,99.7,1990
EST,,1995
EST,99.8,2000
EST,,2005
EST,99.8,2010
ETH,,1905
ETH,,1900
ETH,,1910
ETH,,1915
ETH,,1920
ETH,,1925
ETH,,1930
ETH,,1935
ETH,,1940
ETH,,1945
ETH,3,1950
ETH,,1955
ETH,,1960
ETH,6,1965
ETH,12.8,1970
ETH,,1975
ETH,22.9,1980
ETH,,1985
ETH,30.8,1990
ETH,35.5,1995
ETH,40.4,2000
ETH,39.8,2005
ETH,39,2010
FIN,,1905
FIN,38.8,1900
FIN,55.3,1910
FIN,,1915
FIN,69.9,1920
FIN,,1925
FIN,84.1,1930
FIN,,1935
FIN,,1940
FIN,,1945
FIN,98.5,1950
FIN,,1955
FIN,99,1960
FIN,,1965
FIN,99,1970
FIN,,1975
FIN,99,1980
FIN,,1985
FIN,100,1990
FIN,,1995
FIN,100,2000
FIN,,2005
FIN,100,2010
FJI,,1905
FJI,,1900
FJI,,1910
FJI,,1915
FJI,55.1,1920
FJI,,1925
FJI,,1930
FJI,,1935
FJI,,1940
FJI,64.4,1945
FJI,67.5,1950
FJI,,1955
FJI,,1960
FJI,,1965
FJI,79,1970
FJI,,1975
FJI,83,1980
FJI,,1985
FJI,89.2,1990
FJI,91.6,1995
FJI,93.6,2000
FJI,93.7,2005
FJI,96.3,2010
FRA,85.9,1905
FRA,83.5,1900
FRA,88.1,1910
FRA,,1915
FRA,91.8,1920
FRA,93.9,1925
FRA,94.7,1930
FRA,96,1935
FRA,,1940
FRA,96.6,1945
FRA,96.5,1950
FRA,,1955
FRA,96.6,1960
FRA,,1965
FRA,97,1970
FRA,,1975
FRA,98,1980
FRA,,1985
FRA,99,1990
FRA,,1995
FRA,99,2000
FRA,99,2005
FRA,99,2010
GAB,,1905
GAB,,1900
GAB,,1910
GAB,,1915
GAB,,1920
GAB,,1925
GAB,,1930
GAB,,1935
GAB,,1940
